Node,GEN,KILL,IN,OUT
B0,-,-,-,-
B1,D1,"D20, D24, D3, D5, D9",D1,D1
B2,-,-,D1,D1
B3,-,-,D1,D1
B4,-,-,D1,D1
B5,D2,D4,D1,"D1, D2"
B6,-,-,-,-
B7,D3,"D1, D20, D24, D5, D9",D3,D3
B8,-,-,D3,D3
B9,-,-,D3,D3
B10,-,-,D3,D3
B11,D4,D2,D3,"D3, D4"
B12,-,-,-,-
B13,D5,"D1, D20, D24, D3, D9","D5, D6, D7, D8","D5, D6, D7, D8"
B14,"D6, D7, D8",-,"D5, D6, D7, D8","D5, D6, D7, D8"
B15,D9,"D1, D20, D24, D3, D5","D10, D11, D5, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B16,"D10, D11",-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B17,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B18,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B19,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B20,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B21,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B22,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B23,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B24,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B25,-,-,"D10, D11, D6, D7, D8, D9","D10, D11, D6, D7, D8, D9"
B26,"D12, D13, D14","D26, D27","D10, D11, D6, D7, D8, D9","D10, D11, D12, D13, D14, D6, D7, D8, D9"
B27,-,-,"D10, D11, D12, D13, D14, D6, D7, D8, D9","D10, D11, D12, D13, D14, D6, D7, D8, D9"
B28,D15,"D17, D19, D21","D10, D11, D12, D13, D14, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D6, D7, D8, D9"
B29,-,-,"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D6, D7, D8, D9"
B30,-,-,"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D6, D7, D8, D9"
B31,-,-,"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D6, D7, D8, D9"
B32,-,-,"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D6, D7, D8, D9"
B33,-,-,"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D6, D7, D8, D9"
B34,D16,-,"D10, D11, D12, D13, D14, D15, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D16, D6, D7, D8, D9"
B35,-,-,"D10, D11, D12, D13, D14, D15, D16, D6, D7, D8, D9","D10, D11, D12, D13, D14, D15, D16, D6, D7, D8, D9"
B36,D17,"D15, D19, D21","D10, D11, D12, D13, D14, D15, D16, D6, D7, D8, D9","D10, D11, D12, D13, D14, D16, D17, D6, D7, D8, D9"
B37,-,-,"D10, D11, D12, D13, D14, D16, D17, D6, D7, D8, D9","D10, D11, D12, D13, D14, D16, D17, D6, D7, D8, D9"
